Name	rcount_Tb166_quant	rcount_Tb167_quant	rcount_Tb168_quant	rcount_Tb169_quant	rcount_Tb170_quant	rcount_Tb171_quant
MSTRG.20586.1	1091.884	1212.742	1499.172	2586.713	2438.439	1759.721
MSTRG.20586.3	145.813	248.554	0.000	265.845	498.761	475.626
MSTRG.20586.2	0.000	0.000	0.000	198.594	62.900	137.114
MSTRG.20586.4	45.274	0.000	151.448	261.367	394.820	151.563
MSTRG.20586.5	106.676	183.376	251.846	0.000	25.777	0.000
MSTRG.20586.7	5.391	0.000	0.000	753.618	476.636	544.428
MSTRG.20586.6	0.000	0.000	0.000	0.000	64.862	0.000
KWMTBOMO04201.mrna1	13.079	3.034	18.512	140.092	90.801	14.723
KWMTBOMO04202.mrna1	0.000	0.000	0.000	102.433	148.112	58.044
KWMTBOMO04203.mrna1	9.000	10.000	4.000	4.000	2.000	1.000
KWMTBOMO04204.mrna1	0.000	0.000	2.000	0.000	0.000	0.000
MSTRG.20589.1	17.535	15.577	68.869	0.000	1.000	1.000
MSTRG.20589.2	55.232	64.423	64.286	4.000	0.000	0.000
KWMTBOMO04205.mrna1	39.854	42.123	32.663	3.202	2.615	0.000
